Gene,Rep,Temp.hot,Mom.is.SD,N.off.SD,N.off.total
1,1,0,0,815,1379
1,2,0,0,3121,5556
1,1,0,1,1076,1817
1,2,0,1,3200,5236
2,1,0,0,225,470
2,2,0,0,875,1735
2,1,0,1,346,665
2,2,0,1,717,1457
3,1,0,0,163,265
3,2,0,0,538,1081
3,1,0,1,237,374
3,2,0,1,519,925
4,1,0,0,10,17
4,2,0,0,46,93
4,1,0,1,16,26
4,2,0,1,52,89
5,1,0,0,124,226
5,2,0,0,607,1350
5,1,0,1,214,396
5,2,0,1,827,1601
6,1,0,0,88,174
6,2,0,0,378,917
6,1,0,1,136,301
6,2,0,1,426,936
7,1,0,0,53,107
7,2,0,0,271,595
7,1,0,1,77,142
7,2,0,1,314,717
8,1,0,0,44,91
8,2,0,0,238,486
8,1,0,1,82,156
8,2,0,1,292,572
9,1,0,0,775,1696
9,2,0,0,2454,5975
9,1,0,1,943,1961
9,2,0,1,2871,6288
10,1,0,0,29,84
10,2,0,0,188,558
10,1,0,1,24,91
10,2,0,1,187,485
11,1,0,0,97,187
11,2,0,0,486,1044
11,1,0,1,153,322
11,2,0,1,536,1111
12,1,0,0,48,79
12,2,0,0,175,356
12,1,0,1,57,107
12,2,0,1,183,345
13,1,0,0,14,29
13,2,0,0,66,132
13,1,0,1,17,31
13,2,0,1,39,111
14,1,0,0,6,12
14,2,0,0,74,142
14,1,0,1,30,48
14,2,0,1,74,132
15,1,0,0,42,119
15,2,0,0,342,691
15,1,0,1,101,229
15,2,0,1,420,852
16,1,0,0,14,27
16,2,0,0,79,158
16,1,0,1,21,44
16,2,0,1,84,157
17,1,0,0,204,400
17,2,0,0,1084,1927
17,1,0,1,354,595
17,2,0,1,968,1745
18,1,0,0,53,125
18,2,0,0,149,390
18,1,0,1,78,203
18,2,0,1,149,347
19,1,0,0,98,213
19,2,0,0,497,990
19,1,0,1,159,338
19,2,0,1,286,631
20,1,0,0,45,115
20,2,0,0,180,527
20,1,0,1,64,180
20,2,0,1,171,484
21,1,0,0,152,310
21,2,0,0,753,1473
21,1,0,1,346,622
21,2,0,1,1020,1875
22,1,0,0,49,80
22,2,0,0,131,222
22,1,0,1,89,136
22,2,0,1,79,146
23,1,0,0,613,1075
23,2,0,0,737,1705
23,1,0,1,729,1312
23,2,0,1,770,1414
24,1,0,0,16,32
24,2,0,0,50,106
24,1,0,1,53,90
24,2,0,1,73,152
25,1,0,0,6,95
25,2,0,0,12,530
25,1,0,1,2,77
25,2,0,1,20,382
26,1,0,0,432,1101
26,2,0,0,2479,5355
26,1,0,1,675,1628
26,2,0,1,2020,4213
27,1,0,0,39,71
27,2,0,0,390,664
27,1,0,1,114,185
27,2,0,1,353,563
28,1,0,0,25,38
28,2,0,0,152,280
28,1,0,1,119,179
28,2,0,1,141,264
29,1,0,0,687,1291
29,2,0,0,2980,5698
29,1,0,1,1016,1884
29,2,0,1,2571,4918
30,1,0,0,1978,4424
30,2,0,0,9185,20286
30,1,0,1,3130,6666
30,2,0,1,8333,17961
31,1,0,0,446,769
31,2,0,0,965,2003
31,1,0,1,855,1402
31,2,0,1,1214,2053
32,1,0,0,19,52
32,2,0,0,133,359
32,1,0,1,44,87
32,2,0,1,108,274
33,1,0,0,68,112
33,2,0,0,470,952
33,1,0,1,148,269
33,2,0,1,501,972
34,1,0,0,27,42
34,2,0,0,112,182
34,1,0,1,42,61
34,2,0,1,95,152
35,1,0,0,4211,8358
35,2,0,0,17381,37543
35,1,0,1,7982,16139
35,2,0,1,15955,32957
36,1,0,0,403,836
36,2,0,0,1397,2971
36,1,0,1,544,1077
36,2,0,1,1338,2745
37,1,0,0,603,1219
37,2,0,0,2768,5287
37,1,0,1,957,1944
37,2,0,1,2631,4996
38,1,0,0,740,1475
38,2,0,0,3319,6761
38,1,0,1,1640,3128
38,2,0,1,2848,6006
39,1,0,0,350,672
39,2,0,0,566,1206
39,1,0,1,505,907
39,2,0,1,714,1353
40,1,0,0,89,193
40,2,0,0,615,1313
40,1,0,1,153,341
40,2,0,1,616,1218
41,1,0,0,136,261
41,2,0,0,736,1485
41,1,0,1,192,395
41,2,0,1,953,1713
42,1,0,0,81,182
42,2,0,0,405,843
42,1,0,1,196,344
42,2,0,1,466,883
43,1,0,0,67,155
43,2,0,0,447,890
43,1,0,1,168,352
43,2,0,1,537,1021
44,1,0,0,322,631
44,2,0,0,2681,5176
44,1,0,1,665,1214
44,2,0,1,2682,5061
45,1,0,0,38,97
45,2,0,0,256,493
45,1,0,1,104,211
45,2,0,1,319,584
46,1,0,0,2464,6214
46,2,0,0,10285,25344
46,1,0,1,2970,7516
46,2,0,1,8550,20029
47,1,0,0,36,73
47,2,0,0,273,469
47,1,0,1,83,164
47,2,0,1,262,433
48,1,0,0,199,474
48,2,0,0,1094,2394
48,1,0,1,443,937
48,2,0,1,999,2168
49,1,0,0,26,54
49,2,0,0,115,327
49,1,0,1,67,123
49,2,0,1,171,452
50,1,0,0,31,67
50,2,0,0,114,251
50,1,0,1,40,86
50,2,0,1,135,271
51,1,0,0,15,53
51,2,0,0,269,828
51,1,0,1,76,193
51,2,0,1,399,1231
52,1,0,0,29,45
52,2,0,0,179,302
52,1,0,1,54,83
52,2,0,1,228,371
53,1,0,0,246,439
53,2,0,0,1139,2288
53,1,0,1,346,684
53,2,0,1,1576,2992
54,1,0,0,147,308
54,2,0,0,113,233
54,1,0,1,187,486
54,2,0,1,23,35
55,1,0,0,11,31
55,2,0,0,64,123
55,1,0,1,28,52
55,2,0,1,47,85
56,1,0,0,389,877
56,2,0,0,1763,3945
56,1,0,1,630,1469
56,2,0,1,1788,3916
57,1,0,0,189,332
57,2,0,0,348,761
57,1,0,1,258,487
57,2,0,1,412,781
58,1,0,0,49,85
58,2,0,0,194,437
58,1,0,1,72,122
58,2,0,1,214,404
59,1,0,0,222,436
59,2,0,0,790,1634
59,1,0,1,349,665
59,2,0,1,766,1444
60,1,0,0,79,181
60,2,0,0,248,406
60,1,0,1,151,289
60,2,0,1,282,434
61,1,0,0,11,22
61,2,0,0,73,159
61,1,0,1,17,42
61,2,0,1,77,162
62,1,0,0,78,166
62,2,0,0,387,781
62,1,0,1,122,218
62,2,0,1,476,979
63,1,0,0,131,263
63,2,0,0,1020,1767
63,1,0,1,320,603
63,2,0,1,1012,1758
64,1,0,0,70,148
64,2,0,0,311,708
64,1,0,1,107,234
64,2,0,1,290,636
65,1,0,0,35,82
65,2,0,0,360,764
65,1,0,1,89,171
65,2,0,1,470,910
66,1,0,0,196,340
66,2,0,0,583,1200
66,1,0,1,309,566
66,2,0,1,891,1563
67,1,0,0,292,789
67,2,0,0,1739,4248
67,1,0,1,590,1314
67,2,0,1,1658,4151
68,1,0,0,62,141
68,2,0,0,323,820
68,1,0,1,87,190
68,2,0,1,343,732
69,1,0,0,182,364
69,2,0,0,205,478
69,1,0,1,183,413
69,2,0,1,244,555
70,1,0,0,91,122
70,2,0,0,484,793
70,1,0,1,156,239
70,2,0,1,563,804
71,1,0,0,241,439
71,2,0,0,996,2059
71,1,0,1,363,684
71,2,0,1,887,1735
72,1,0,0,93,162
72,2,0,0,435,778
72,1,0,1,164,281
72,2,0,1,384,641
73,1,0,0,19,38
73,2,0,0,80,159
73,1,0,1,17,44
73,2,0,1,110,212
74,1,0,0,86,199
74,2,0,0,313,773
74,1,0,1,141,280
74,2,0,1,431,997
75,1,0,0,29,58
75,2,0,0,197,382
75,1,0,1,83,137
75,2,0,1,179,359
76,1,0,0,52,103
76,2,0,0,610,1146
76,1,0,1,152,292
76,2,0,1,651,1244
77,1,0,0,151,343
77,2,0,0,656,1611
77,1,0,1,248,512
77,2,0,1,895,2015
78,1,0,0,410,920
78,2,0,0,1396,3290
78,1,0,1,785,1814
78,2,0,1,1561,3396
79,1,0,0,193,490
79,2,0,0,2175,5257
79,1,0,1,338,916
79,2,0,1,1080,2835
80,1,0,0,42,91
80,2,0,0,280,554
80,1,0,1,81,152
80,2,0,1,256,512
81,1,0,0,72,143
81,2,0,0,316,667
81,1,0,1,112,218
81,2,0,1,221,500
82,1,0,0,61,120
82,2,0,0,252,512
82,1,0,1,66,173
82,2,0,1,247,502
83,1,0,0,31,69
83,2,0,0,111,222
83,1,0,1,48,101
83,2,0,1,94,168
84,1,0,0,221,541
84,2,0,0,1676,4069
84,1,0,1,467,1140
84,2,0,1,1215,2868
85,1,0,0,209,385
85,2,0,0,1244,2220
85,1,0,1,352,613
85,2,0,1,1131,2008
86,1,0,0,43,83
86,2,0,0,246,495
86,1,0,1,104,169
86,2,0,1,258,475
87,1,0,0,167,437
87,2,0,0,1457,3990
87,1,0,1,332,901
87,2,0,1,1400,3808
88,1,0,0,104,231
88,2,0,0,597,1240
88,1,0,1,209,413
88,2,0,1,821,1677
89,1,0,0,23,40
89,2,0,0,133,283
89,1,0,1,37,76
89,2,0,1,151,321
90,1,0,0,33,166
90,2,0,0,360,1365
90,1,0,1,107,430
90,2,0,1,389,1388
91,1,0,0,88,209
91,2,0,0,742,1671
91,1,0,1,241,483
91,2,0,1,963,1918
92,1,0,0,6,17
92,2,0,0,68,136
92,1,0,1,17,27
92,2,0,1,62,148
93,1,0,0,61,132
93,2,0,0,296,594
93,1,0,1,133,256
