Name,SCfxSDm_20_2015,SCfxSDm_20_2016,SCfxSDm_35_2015,SCfxSDm_35_2016,SDfxSCm_20_2015,SDfxSCm_20_2016,SDfxSCm_35_2015,SDfxSCm_35_2016,SD_20_2015,SD_20_2016,SD_35_2015,SD_35_2016,SCN_20_2015,SCN_20_2016,SCN_35_2015,SCN_35_2016
SD_mtDNA_cox1,67879,239855,218131,457986,130293,321646,211129,227406,135429,229944,218982,173750,331888,294455,303652,340921
SD_mtDNA_nad2,23518,98160,61605,159765,34794,79598,46839,61576,48974,96555,63996,50493,69169,55195,48910,58143
SD_mtDNA_nad1,7756,29253,16370,45623,18632,43720,19706,27778,18350,34131,17705,14417,20990,17672,16755,18673
SD_mtDNA_cox2,31123,118872,92077,210949,44680,94338,66029,79657,29193,57095,44980,34741,91829,73752,59023,73175
SD_mtDNA_cytb,39983,141477,113566,255043,38011,86476,64983,70125,37734,66938,62576,47006,108520,92669,77460,91315
SD_mtDNA_nad4,22093,96398,61767,158165,18234,50306,25546,31729,23562,38729,28912,20115,70786,51959,51845,59809
SD_mtDNA_cox3,16264,56175,43694,99869,17031,41741,36361,50408,21202,37807,39945,30947,54075,52797,43918,44930
SD_mtDNA_nad5,22001,89942,60731,150673,24192,66089,41679,47819,27630,51765,39406,35828,61686,41103,49161,62098
SD_mtDNA_nad3,3435,11173,7353,18526,3434,7684,5664,8538,2577,5683,3616,3095,8993,7924,7380,7884
SD_mtDNA_nad6,7559,28124,21644,49768,6432,15610,10329,11792,8112,15054,11173,8689,21121,16651,15355,18120
SD_mtDNA_nd4L,3747,13350,10236,23586,4801,11663,8039,11410,5973,12336,7418,6461,9429,8933,7079,8522
SD_mtDNA_ATP8,24,69,51,120,26,55,140,101,30,76,48,41,25,19,76,91
SD_mtDNA_ATP6,23848,107000,62228,169228,34897,80365,51772,65524,34534,69127,53686,43039,83849,80586,60916,66764
SD_As4_Contig1235cap,1506,6158,3537,9695,1991,5780,3143,3816,2225,4862,3226,3723,5104,3320,3063,3360
