Gene,Rep,Temp.hot,N.Correct,N.total,N.is.SD,N.is.SC
1,1,1,2930,2933,1,0
1,2,1,3405,3411,1,0
1,1,1,2679,2807,0,1
1,2,1,2876,3037,0,1
2,1,1,981,982,1,0
2,2,1,978,983,1,0
2,1,1,1099,1179,0,1
2,2,1,879,949,0,1
3,1,1,4159,4162,1,0
3,2,1,2337,2341,1,0
3,1,1,1519,1521,0,1
3,2,1,1473,1474,0,1
4,1,1,58,58,1,0
4,2,1,64,64,1,0
4,1,1,47,47,0,1
4,2,1,36,36,0,1
5,1,1,613,616,1,0
5,2,1,959,961,1,0
5,1,1,1344,1378,0,1
5,2,1,1267,1296,0,1
6,1,1,454,465,1,0
6,2,1,551,561,1,0
6,1,1,824,825,0,1
6,2,1,699,700,0,1
7,1,1,352,365,1,0
7,2,1,424,430,1,0
7,1,1,485,487,0,1
7,2,1,472,472,0,1
8,1,1,294,295,1,0
8,2,1,418,419,1,0
8,1,1,528,532,0,1
8,2,1,523,535,0,1
9,1,1,2626,2637,1,0
9,2,1,4028,4039,1,0
9,1,1,4633,4876,0,1
9,2,1,7664,8177,0,1
10,1,1,171,192,1,0
10,2,1,215,230,1,0
10,1,1,264,265,0,1
10,2,1,253,254,0,1
11,1,1,505,509,1,0
11,2,1,760,765,1,0
11,1,1,1115,1140,0,1
11,2,1,918,941,0,1
12,1,1,198,198,1,0
12,2,1,145,148,1,0
12,1,1,189,194,0,1
12,2,1,224,231,0,1
13,1,1,40,40,1,0
13,2,1,26,27,1,0
13,1,1,65,68,0,1
13,2,1,72,73,0,1
14,1,1,50,50,1,0
14,2,1,79,79,1,0
14,1,1,139,154,0,1
14,2,1,141,153,0,1
15,1,1,370,370,1,0
15,2,1,535,537,1,0
15,1,1,579,592,0,1
15,2,1,503,508,0,1
16,1,1,44,44,1,0
16,2,1,65,66,1,0
16,1,1,153,163,0,1
16,2,1,146,153,0,1
17,1,1,1214,1216,1,0
17,2,1,1128,1128,1,0
17,1,1,959,1114,0,1
17,2,1,1030,1197,0,1
18,1,1,137,138,1,0
18,2,1,168,174,1,0
18,1,1,483,507,0,1
18,2,1,380,399,0,1
19,1,1,495,507,1,0
19,2,1,373,381,1,0
19,1,1,287,290,0,1
19,2,1,429,431,0,1
20,1,1,332,341,1,0
20,2,1,275,281,1,0
20,1,1,507,507,0,1
20,2,1,500,500,0,1
21,1,1,888,891,1,0
21,2,1,1331,1333,1,0
21,1,1,1421,1496,0,1
21,2,1,1158,1238,0,1
